Row Number,Card ID,Name,Faction,Rarity,Type,Subtype,Cost,Power,Toughness,Abilities,Flavor Text,Set/Edition
1,SRP-BR-001-C-U,EspenLock Security Drone,EspenLock,Common,Creature,Unit,2,1,2,"[Arc Shield] Start of combat: if you have Energy, prevent 2 dmg to this.
[Power Cycle] Enter: gain 1 Energy. When this leaves play, search your deck for a Resource.",Initiate tracking protocol,SRP: Bitterroot
2,SRP-BR-002-C-U,Lock & Sons Intern,EspenLock,Common,Creature,Unit,2,2,1,"[Intern Assist] Enter: gain 1 Energy.
[Ready Station] (Pay: 1 Energy) → Ready target Artifact. Tap: create a 1/1 Token under your control. Tap: gain 1 Energy.",'How do you like your coffee?',SRP: Bitterroot
3,SRP-BR-003-C-U,Corporate Enforcer,EspenLock,Common,Creature,Unit,1,2,2,"[Detain] (Pay: 1 Energy) → Tap target damaged Unit; it doesn’t ready next turn. If you control another Faction card, add 1 Resource of any type.",‘Enforcement to ensure a better tomorrow.’,SRP: Bitterroot
4,SRP-BR-004-C-U,Logistics Handler,EspenLock,Common,Creature,Unit,1,1,1,"[Load Balance] Enter: if you spent Energy this turn, this gets +1 ATK this combat.
[Cache] End of turn: you may discard a card; if you do, gain 1 Energy. Once per turn, return target card from graveyard to your hand. At the start of combat, prevent the next 1 dmg to a friendly unit.",‘Need a light? Sign this release form.’,SRP: Bitterroot
5,SRP-BR-005-C-U,Corporate Guard,EspenLock,Common,Creature,Unit,1,1,2,"[Ward 1] (dmg prevention 1 while targeted.)
[Security Sweep] Attack: if this is blocked, prevent 1 dmg to this. When this leaves play, draw 1 card. When this leaves play, gain 1 Energy.",‘Corporate defense never felt so good.’,SRP: Bitterroot
6,SRP-BR-006-C-U,Data Courier,EspenLock,Common,Creature,Unit,2,1,1,"[Data Uplink] (Pay: 2 Energy) → Draw a card, then discard a card.
[Checksum] End of turn: if you discarded a card, gain 1 Energy. Tap: add 1 Resource of any type. Pay 1 Energy → add 1 Resource of any type.",‘01110010 01100001 01101001 01101110 00100000 01101111 01110010 00100000 01110011 01101000 01101001 01101110 01100101’,SRP: Bitterroot
7,SRP-BR-007-C-U,Supply Technician,EspenLock,Common,Creature,Unit,2,2,1,"[Resupply] Enter: create an Energy token. Once per turn, return target card from graveyard to your hand.",'Need some supplies?’,SRP: Bitterroot
8,SRP-BR-008-C-U,Prototype Drone Scout,EspenLock,Common,Creature,Unit,2,2,1,"[Scout Optics] This has +1 ATK while attacking alone.
[Overclock] (Pay: 1 Energy) → Gains First Strike this turn. Once per turn, return target card from graveyard to your hand. Tap: tap target enemy unit.",‘The circuit hums and emits a comfortable faint glow.’,SRP: Bitterroot
9,SRP-BR-009-C-U,Resource Auditor,EspenLock,Common,Creature,Unit,2,1,3,"[Audit] Enter: look at the top 2 cards of your deck; put one back, one into discard.
[Efficiency] Start of combat: if you have ≥3 Energy, this gets +1 ATK this combat. Pay 1 Energy → heal 2 dmg from a target unit.",‘You cash the checks but I check the receipts.’,SRP: Bitterroot
10,SRP-BR-010-C-U,Cargo Overseer,EspenLock,Common,Creature,Unit,2,2,1,"[Logistics Chain] Enter: gain 1 Energy.
[Route Lock] (Pay: 2 Energy) → Tap target Unit. Tap: add 1 Resource of any type.",‘Ensuring the cogs are well oiled.’,SRP: Bitterroot
11,SRP-BR-001-C-S,Prototype Operator V-12,EspenLock,Uncommon,Creature,Specialist,3,3,2,"[Overclock] (Pay: 1 Energy) → +1 ATK and First Strike this turn. +1 ATK per Charge on this.
[Charge Build] End of turn: if you spent Energy, put a Charge on this (max 2). Tap: heal 2 dmg from a target unit.",Only 3 days since the last explosion!,SRP: Bitterroot
12,SRP-BR-002-C-S,Cybernetics Tester,EspenLock,Uncommon,Creature,Specialist,4,3,2,"[Rebuild] Enter: heal 2 to target Unit.
[Cyborg Tune] (Pay: 2 Energy) → Target Unit gets Ward 1 this turn. Whenever this enters play, prevent the next 1 dmg to a friendly unit. At the start of combat, add 1 Resource of any type.",All humans can be rebuilt to be better.,SRP: Bitterroot
13,SRP-BR-003-C-S,Corporate Fixer,EspenLock,Uncommon,Creature,Specialist,4,3,2,"[Quiet Fix] Enter: tap target Unit.
[Erase Trail] (Pay: 2 Energy) → Target enemy loses 1 Resource of their choice. Pay 1 Energy → gain 2 Energy. Pay 1 Energy → tap target enemy unit.",'Nothing more than a rounding error'.,SRP: Bitterroot
14,SRP-BR-004-C-S,EspenLock Auditor,EspenLock,Uncommon,Creature,Specialist,3,3,2,"[Variance Flag] Enter: Scry 2.
[Freeze Account] (Pay: 3 Energy) → Tap target Unit; it doesn’t ready next turn. Whenever this enters play, gain 1 Energy.",Inconsistency and disorder is the rot in any organization.,SRP: Bitterroot
15,SRP-BR-005-C-S,Field Engineer Kess,EspenLock,Uncommon,Creature,Specialist,3,3,2,"[Field Patch] (Pay: 1 Energy) → Heal 2 to target Unit. +1 Heal per Energy token on this.
[Tool Up] Enter: create an Energy token. Once per turn, prevent the next 1 dmg to a friendly unit. Once per turn, add 1 Resource of any type.",Wrench it up. Tie it down. Bring the crowbar it's time to party.,SRP: Bitterroot
16,SRP-BR-001-C-E,Overseer Kline,EspenLock,Rare,Creature,Elite,6,5,3,"[Network Shield] Other EspenLock Units you control have Ward 1.
[Audit Protocol] (Pay: 3 Energy) → Tap up to two enemy Units; they don’t ready next turn. Pay 1 Energy → return target card from graveyard to your hand.",It is your honor to serve me.,SRP: Bitterroot
17,SRP-BR-002-C-E,Commandant Veynar,EspenLock,Rare,Creature,Elite,6,5,3,"[Drill Sergeant] Attack: other attacking EspenLock Units get +1 ATK this combat.
[Discipline] Start of combat: if you have ≥2 Energy, this gets +1/+1 this turn. Tap: draw 1 card. At the start of combat, add 1 Resource of any type.",Drop and give me 20!,SRP: Bitterroot
18,SRP-BR-003-C-E,EspenLock Blackhand,EspenLock,Rare,Creature,Elite,4,5,3,"[Blackout] Enter: tap target Unit. If you spent Energy this turn, also deal 1 dmg to it.
[Ghost Step] (Pay: 2 Energy) → This can’t be blocked this turn. Pay 1 Energy → add 1 Resource of any type. Once per turn, gain 1 Energy.",Now you see me....,SRP: Bitterroot
19,SRP-BR-001-C-M,Director Espen V. Lockhart,EspenLock,Legendary,Creature,Myth,8,7,5,"[Executive Order] Start of combat: choose one — ready a Unit; or tap an enemy Unit; or gain 1 Energy.
[Corporate Engine] End of turn: if you spent ≥3 Energy this turn, draw a card. If you control another Faction card, create a 1/1 Token under your control.",'Your assets are now mine and there is nothing you can do.',SRP: Bitterroot
20,SRP-BR-002-C-M,AI: Project HORIZON,EspenLock,Legendary,Creature,Myth,7,7,5,"[Overseer Routine] Enter: gain 2 Energy.
[Extermination] (Pay: 4 Energy) → Deal 3 dmg divided among up to three Units. If you control another Faction card, return target card from graveyard to your hand. At the start of combat, reveal the top card of your deck, you may play it.",Initiate Extermination Protocols,SRP: Bitterroot
21,SRP-BR-011-C-U,STAG Patrolman,STAG,Common,Creature,Unit,1,2,1,"[Suppressive Fire] (Pay: 1 Munitions) → Deal 1 dmg to target Unit. If it would attack this turn, it can’t. Whenever this enters play, discard 1 card. Pay 1 Energy → prevent the next 1 dmg to a friendly unit.",‘Steel marches until order prevails.’,SRP: Bitterroot
22,SRP-BR-012-C-U,Armored Grunt,STAG,Common,Creature,Unit,2,2,1,"[Armor Up] Block: this gets +0/+2 this combat and +1 DEF per ammo.
[Load Ammo] End of turn: if this didn’t attack, put an Ammo on this (max 1). Whenever this enters play, tap target enemy unit. Tap: discard 1 card.",‘The rifle waits with iron resolve.’,SRP: Bitterroot
23,SRP-BR-013-C-U,Depot Loader,STAG,Common,Creature,Unit,2,2,1,"[Crate Lift] Enter: Search your deck for a Supplies Resource. Whenever this enters play, prevent the next 1 dmg to a friendly unit.",‘Stack up them crates.’,SRP: Bitterroot
24,SRP-BR-014-C-U,Field Mechanic,STAG,Common,Creature,Unit,1,2,1,"[Field Repair] (Pay: 1 Munitions) → Heal 1 to a Vehicle or Unit with equipment.
[Spare Parts] Death: create a Supplies (Survivors) or Munitions (STAG) — your choice. Pay 1 Munitions → prevent the next 1 dmg to a friendly unit.",‘Usin' scrap to fix junk.’,SRP: Bitterroot
25,SRP-BR-015-C-U,Supply Driver,STAG,Common,Creature,Unit,1,2,1,"[Escort] Attack: another attacking Unit gets +1/+0 this combat.
[Fuel Check] End of turn: if you attacked with a Vehicle, gain 1 Munitions. Once per turn, heal 2 dmg from a target unit.",‘Time to roll the dice on this run.’,SRP: Bitterroot
26,SRP-BR-016-C-U,Riot Guard,STAG,Common,Creature,Unit,2,2,2,"[Riot Shield] Block: prevent 2 dmg to this.
[Push Back] (Pay: 1 Munitions) → Tap target Unit. Tap: discard 1 card.",‘Back up! Or your face will meet my boot.’,SRP: Bitterroot
27,SRP-BR-017-C-U,Watchtower Scout,STAG,Common,Creature,Unit,2,3,1,"[Spotter] Start of combat: the next time target enemy Unit would attack this turn, it gets −1 ATK.
[Signal Flare] (Pay: 1 Munitions) → Reveal the top card of your deck; if it’s a Unit, draw it. If you control another Faction card, reveal the top card of your deck, you may play it. Pay 1 Munitions → add 1 Resource of any type.",‘On watch for the mutant scourge.’,SRP: Bitterroot
28,SRP-BR-018-C-U,Ammo Handler,STAG,Common,Creature,Unit,1,2,1,"[Ammo Run] Enter: gain 1 Munitions.
[Load Team] Attack: another attacking Unit gets +1 ATK this combat. If you control another Faction card, tap target enemy unit.",‘Load em up! Shoot em up! Repeat.’,SRP: Bitterroot
29,SRP-BR-019-C-U,Fuel Convoy Escort,STAG,Common,Creature,Unit,1,2,1,"[Convoy Screen] While attacking with another Unit, this has +1/+0.
[Fuel Drum] Pay 1 Munitions → reveal the top card of your deck, you may play it. Once per turn, search your deck for a Resource.",‘I bring the gas you bring the beans.’,SRP: Bitterroot
30,SRP-BR-020-C-U,Checkpoint Guard,STAG,Common,Creature,Unit,1,2,1,"[Checkpoint] Enter: tap target Unit.
[Papers Please] Start of combat: if an enemy Unit is tapped, this gets +1 ATK this combat. Whenever this enters play, prevent the next 1 dmg to a friendly unit.",‘Papers please.’,SRP: Bitterroot
31,SRP-BR-006-C-S,STAG Sniper Tulles,STAG,Uncommon,Creature,Specialist,2,3,2,"[Long Shot] Attack: you may put an Ammo on this (max 2).
[Marked] (Pay: Remove 1 Ammo) → Deal 2 dmg to target tapped Unit. At the start of combat, search your deck for a Resource. When this leaves play, reveal the top card of your deck, you may play it.",'Good things come to those who wait.',SRP: Bitterroot
32,SRP-BR-007-C-S,Demolitionist Rykov,STAG,Uncommon,Creature,Specialist,3,3,2,"[Breach] (Pay: 2 Munitions) → Destroy target Barrier/Shield/Structure; otherwise deal 2 to Elite/Legendary.
[Satchel] Enter: If you control another Faction card, return target card from graveyard to your hand.",No wall to thick,SRP: Bitterroot
33,SRP-BR-008-C-S,Squad Leader Marra,STAG,Uncommon,Creature,Specialist,3,3,2,"[Coordinated Volley] Attack: other attacking Units get +1 ATK this combat.
[Fall In] Enter: ready another STAG Unit. Whenever this enters play, search your deck for a Resource of your choice.",Fall-in maggots!!,SRP: Bitterroot
34,SRP-BR-009-C-S,Recon Operative Vash,STAG,Uncommon,Creature,Specialist,2,3,2,"[Recon] Enter: look at the top 3 cards of your deck; you may put one into your hand.
[Camouflage] This can’t be blocked by Units with higher ATK. Once per turn, prevent the next 1 dmg to a friendly unit. Pay 1 Munitions → discard 1 card.",'It has been said that a man like no other wanders the wasteland with a bounty on his head',SRP: Bitterroot
35,SRP-BR-010-C-S,Riot Suppressor Kryn,STAG,Uncommon,Creature,Specialist,2,3,2,"[Phalanx] Block: another blocking Unit gets +0/+2 this combat.
[Disperse] (Pay: 2 Munitions) → Tap up to two enemy Units. Tap: reveal the top card of your deck, you may play it.","Phalanx formation. On three. One, Two, THREE!!",SRP: Bitterroot
36,SRP-BR-004-C-E,Juggernaut Unit X-7,STAG,Rare,Creature,Elite,4,5,3,"[Trample]
[Riot Protocol] (Pay: 3 Munitions) → Tap up to two Units; they don’t ready next turn. When this leaves play, draw 1 card.",Juggernaut Unit Online. Identifying target. Initiate engagement protocol.,SRP: Bitterroot
37,SRP-BR-005-C-E,Enforcer Lydra,STAG,Rare,Creature,Elite,5,5,3,"[Close Quarters] This has First Strike while attacking alone.
[Brutal Order] Enter: target enemy Unit can’t attack next turn. When this leaves play, discard 1 card. Once per turn, prevent the next 1 dmg to a friendly unit.",'Rumor has it she kills any man that she beds.',SRP: Bitterroot
38,SRP-BR-006-C-E,Ironhand Specialist,STAG,Rare,Creature,Elite,5,5,3,"[Iron Grip] Other STAG Units you control get +0/+1.
[Clampdown] (Pay: 2 Munitions) → Tap target Unit; if it was already tapped, deal 1 to it. Once per turn, add 1 Resource of any type. Whenever this enters play, gain 1 Munitions.",An iron fist keeps the reigns held tight.',SRP: Bitterroot
39,SRP-BR-003-C-M,General Stagwell,STAG,Legendary,Creature,Myth,8,7,5,"[War Doctrine] Your STAG Units get +1 ATK while attacking.
[Total Mobilization] (Pay: 4 Munitions) → Ready all your Units; they get +0/+1 this turn. Whenever this enters play, discard 1 card.",No one knows where General Stagwell came from but his rise through the ranks was meteoric,SRP: Bitterroot
40,SRP-BR-004-C-M,Titan Mech Pilot: Bastion,STAG,Legendary,Creature,Myth,7,7,5,"[Pilot Sync] While you control a Vehicle, this gets +2/+2.
[Mech Overdrive] (Pay: 3 Munitions) → Target Vehicle gets +2/+0 and Trample this turn. When this leaves play, reveal the top card of your deck, you may play it.","An alternate pathway to cybernetics, Bastion seems to be more machine than man at this point.",SRP: Bitterroot
41,SRP-BR-021-C-U,Street Prophet Malrik,COW,Common,Creature,Unit,2,2,1,"[Penance] Enter: you may sacrifice another Unit. If you do, put 2 Faith on this.
[Zeal] Attack: if this has Faith ≥2, it gets +2/+0 this combat. Pay 1 Faith → search your deck for a Resource. Whenever this enters play, draw 1 card.",‘Ashes fall as prayers echo.’,SRP: Bitterroot
42,SRP-BR-022-C-U,Acolyte of the Seed,COW,Common,Creature,Unit,2,2,1,"[Tend the Seed] End of turn: if you gained HP this turn, put a Faith on this (max 2).
[Hand of Mercy] (Pay: 1 Faith) → Heal 2 to target Unit. Whenever this enters play, search your deck for a Resource. At the start of combat, reveal the top card of your deck, you may play it.","‘Faith burns, binding all who kneel.’",SRP: Bitterroot
43,SRP-BR-023-C-U,Ash Preacher,COW,Common,Creature,Unit,2,2,1,"[Ashen Rebuke] (Pay: 1 Faith) → Target Unit gets −1/−0 and can’t ready next turn if it was damaged this turn. When this leaves play, add 1 Resource of any type. If you control another Faction card, reveal the top card of your deck, you may play it.",‘Pay penance for your sins.’,SRP: Bitterroot
44,SRP-BR-024-C-U,Faithful Beggar,COW,Common,Creature,Unit,2,2,1,"[Alms] Enter: create a 1/1 Penitent token.
[Humble Boon] Death: you gain 1 HP. Pay 1 Faith → create a 1/1 Token under your control.",‘The faithful are rewarded with everlasting life.’,SRP: Bitterroot
45,SRP-BR-025-C-U,Torchbearer Ilin,COW,Common,Creature,Unit,2,2,1,"[Torchlight] Attack: deal 1 dmg to target Unit that blocked this.
[Fan the Flame] (Pay: 1 Faith) → Target Unit gets Menace this turn. Whenever this enters play, tap target enemy unit.",‘Shed light on the darkness. Burn the rest’,SRP: Bitterroot
46,SRP-BR-026-C-U,Sermon Whisperer,COW,Common,Creature,Unit,2,2,1,"[Whispers] Enter: Scry 2.
[Guided Step] Start of combat: if you control a Penitent, this gets +1 ATK this combat. If you control another Faction card, heal 2 dmg from a target unit.",‘Listen closely and you will hear their voices.’,SRP: Bitterroot
47,SRP-BR-027-C-U,Bone Collector,COW,Common,Creature,Unit,2,2,1,"[Bone Meal] Enter: put a Faith on up to two different Units.
[Mortar & Pestle] (Pay: 2 Faith) → Create a 2/2 Acolyte token. Whenever this enters play, tap target enemy unit.","‘Grind the bones into a power, pour some water to make great flour.’",SRP: Bitterroot
48,SRP-BR-028-C-U,Pilgrim of Ash,COW,Common,Creature,Unit,2,2,1,"[Pilgrimage] End of turn: if a Unit died this turn, you gain 1 HP.
[Carry the Ash] (Pay: 1 Faith) → Target Unit gets Lifelink this turn. Tap: add 1 Resource of any type. Pay 1 Faith → gain 2 Faith.","‘Inevitibly when the human settlements fall, a pilgramage must be made to deliver reverance for your bretherens sacrifice.’",SRP: Bitterroot
49,SRP-BR-029-C-U,Chanting Penitent,COW,Common,Creature,Unit,1,2,1,"[Chant] Start of combat: another friendly Unit gets +1 ATK this combat.
[Humble Piety] (Pay: 1 Faith) → Put a Faith on target Unit. Once per turn, draw 1 card.",‘Yu Mo Gui Gwai Fai Di Zao.’,SRP: Bitterroot
