Card ID,Name,Type,Subtype,Faction,Rarity,Resource Cost,Stats,Abilities,Flavor Text,Set/Edition,Artwork Ref,Unnamed: 12,Abilities_wrapped
001-C,EspenLock Security Drone,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.
[Power Cycle] Enter: gain 1 Energy.",‘Sparks crackle in silence.’,SRP: Bitterroot,art/espenlock_common.png,,"[Arc Shield] Start of combat: if you have Energy, prevent
the first 2 damage dealt to it. [Power Cycle] Enter: gain
1 Energy."
002-C,Lock & Sons Intern,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.",‘Power surges guiding the lost.’,SRP: Bitterroot,art/espenlock_common.png,,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy
→ draw, then discard."
003-C,Corporate Enforcer,Character,Unit,EspenLock,Common,1 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.
[Discharge] When it attacks, may pay 1 Energy to deal 1 to up to two targets.",‘Enforcement to ensure a tomorrow.’,SRP: Bitterroot,art/espenlock_common.png,,"[Arc Shield] Start of combat: if you have Energy, prevent
the first 2 damage dealt to it. [Discharge] When it
attacks, may pay 1 Energy to deal 1 to up to two targets."
004-C,Logistics Handler,Character,Unit,EspenLock,Common,1 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.
[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.",‘Need a light? Sign this release form.’,SRP: Bitterroot,art/espenlock_common.png,,"[Arc Shield] Start of combat: if you have Energy, prevent
the first 2 damage dealt to it. [Sparkjump] When you play
a Tech, it gains +1/+0 and Skirmish this turn."
005-C,Corporate Guard,Character,Unit,EspenLock,Common,1 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.",‘Corporate defense never felt so good.’,SRP: Bitterroot,art/espenlock_common.png,,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy
→ draw, then discard."
006-C,Data Courier,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.
[Discharge] When it attacks, may pay 1 Energy to deal 1 to up to two targets.",‘01110010 01100001 01101001 01101110 00100000 01101111 01110010 00100000 01110011 01101000 01101001 01101110 01100101’,SRP: Bitterroot,art/espenlock_common.png,,"[Sparkjump] When you play a Tech, it gains +1/+0 and
Skirmish this turn. [Discharge] When it attacks, may pay 1
Energy to deal 1 to up to two targets."
007-C,Supply Technician,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Discharge] When it attacks, may pay 1 Energy to deal 1 to up to two targets.
[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.",‘Resupply here’,SRP: Bitterroot,art/espenlock_common.png,,"[Discharge] When it attacks, may pay 1 Energy to deal 1 to
up to two targets. [Arc Shield] Start of combat: if you
have Energy, prevent the first 2 damage dealt to it."
008-C,Prototype Drone Scout,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy → draw, then discard.",‘The circuit hums and emits a comfortable faint glow.’,SRP: Bitterroot,art/espenlock_common.png,,"[Power Cycle] Enter: gain 1 Energy. Tap: Convert 1 Energy
→ draw, then discard."
009-C,Resource Auditor,Character,Unit,EspenLock,Common,1 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.
[Power Cycle] Enter: gain 1 Energy.",‘You cash the checks but I check the receipts.’,SRP: Bitterroot,art/espenlock_common.png,,"[Sparkjump] When you play a Tech, it gains +1/+0 and
Skirmish this turn. [Power Cycle] Enter: gain 1 Energy."
010-C,Cargo Overseer,Character,Unit,EspenLock,Common,2 Energy,HP: 10 / ATK: 2 / DEF: 1,"[Sparkjump] When you play a Tech, it gains +1/+0 and Skirmish this turn.
[Arc Shield] Start of combat: if you have Energy, prevent the first 2 damage dealt to it.",‘Ensuring the cogs are well oiled.’,SRP: Bitterroot,art/espenlock_common.png,,"[Sparkjump] When you play a Tech, it gains +1/+0 and
Skirmish this turn. [Arc Shield] Start of combat: if you
have Energy, prevent the first 2 damage dealt to it."
