Card ID,Name,Faction,Rarity,Type/Subtype,Generated Prompt
SRP-BR-001-U-C,EspenLock Security Drone,EspenLock,Common,Unit,"EspenLock Security Drone, depicted as a Unit in a dim retro-tech lab. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-002-U-C,Lock & Sons Intern,EspenLock,Common,Unit,"Lock & Sons Intern, depicted as a Unit in a cassette-tech control room. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-003-U-C,Corporate Enforcer,EspenLock,Common,Unit,"Corporate Enforcer, depicted as a Unit in a neonless corridor of humming CRTs. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-004-U-C,Logistics Handler,EspenLock,Common,Unit,"Logistics Handler, depicted as a Unit in a rooftop array of antennas. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-005-U-C,Corporate Guard,EspenLock,Common,Unit,"Corporate Guard, depicted as a Unit in a dim retro-tech lab. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-006-U-C,Data Courier,EspenLock,Common,Unit,"Data Courier, depicted as a Unit in a cassette-tech control room. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-007-U-C,Supply Technician,EspenLock,Common,Unit,"Supply Technician, depicted as a Unit in a neonless corridor of humming CRTs. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-008-U-C,Prototype Drone Scout,EspenLock,Common,Unit,"Prototype Drone Scout, depicted as a Unit in a rooftop array of antennas. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-009-U-C,Resource Auditor,EspenLock,Common,Unit,"Resource Auditor, depicted as a Unit in a dim retro-tech lab. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-010-U-C,Cargo Overseer,EspenLock,Common,Unit,"Cargo Overseer, depicted as a Unit in a cassette-tech control room. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Common (functional, modest, subdued, everyday; muted tones)"
SRP-BR-001-S-U,Prototype Operator V-12,EspenLock,Uncommon,Specialist,"Prototype Operator V-12, depicted as a Specialist in a neonless corridor of humming CRTs. Style: cinematic digital painting with high detail and strong atmosphere. Mood: precise, mechanical. Faction Augments: analog consoles, CRT monitors, cassette drives, chunky machinery, flickering lights, industrial plastic casings, warning labels, low-tech futurism. Rarity Layer: Uncommon (refined, distinctive, slightly higher contrast and embellishment)"
